Time resolution is 1 ps
00000000000000000000000000001001 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001001 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001001 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001001 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000000010 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000000011 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000000100 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000000101 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000000110 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001000 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001001 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001010 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001011 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001100 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001110 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000001111 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010000 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010001 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010010 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010100 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010101 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010110 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000010111 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000011000 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000011010 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001010 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000000010 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000000011 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000000100 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000000101 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000000110 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001000 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001001 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001010 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001011 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001100 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001110 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000001111 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010000 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010001 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010010 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010100 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010101 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010110 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000010111 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000011000 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000011010 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001011 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000000010 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000000011 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000000100 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000000101 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000000110 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001000 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001001 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001010 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001011 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001100 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001110 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000001111 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010000 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010001 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010010 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010100 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010101 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010110 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000010111 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000011000 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000011010 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001100 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000000010 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000000011 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000000100 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000000101 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000000110 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001000 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001001 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001010 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001011 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001100 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001110 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000001111 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010000 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010001 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010010 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010100 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010101 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010110 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000010111 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000011000 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000011010 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001101 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000000010 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000000011 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000000100 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000000101 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000000110 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001000 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001001 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001010 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001011 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001100 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001110 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000001111 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010000 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010001 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010010 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010100 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010101 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010110 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000010111 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000011000 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000011010 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001110 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000000010 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000000011 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000000100 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000000101 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000000110 0010 0010 00000 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001000 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001001 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001010 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001011 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001100 0010 0010 00001 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001110 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000001111 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010000 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010001 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010010 0010 0010 00010 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010100 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010101 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010110 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000010111 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000011000 0010 0010 00011 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000011010 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000011011 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000011100 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000011101 0010 0010 00100 xxxxxxxx0000
00000000000000000000000000001111 00000000000000000000000000011110 0010 0010 00100 xxxxxxxx0000
$finish called at time : 100010 ns : File "D:/OneDrive/University/year_3/semester_1/2110363_HW_SYN_LAB_I/project/Final_Project/HW_SYS_LAB_Project/Term_Project/Term_Project.srcs/sim_3/new/vga_tb.v" Line 51
